machine learning,5933,,,,
genetic algorithm,5264,,,,
classification,4532,,,,
deep learning,4371,,,,
data mining,4369,,,,
cloud computing,4101,,,,
support vector machine,3938,,,,
clustering,3830,,,,
model check,3727,,,,
security,3584,,,,
optimization,3337,,,,
feature selection,3210,,,,
neural network,3161,,,,
multiagent system,2934,,,,
simulation,2857,,,,
neural networks,2659,,,,
artificial intelligence,2630,,,,
ontology,2607,,,,
wireless sensor network,2576,,,,
logic program,2468,,,,
virtual reality,2412,,,,
particle swarm optimization,2350,,,,
privacy,2343,,,,
scheduling,2271,,,,
face recognition,2194,,,,
logic programming,2186,,,,
augmented reality,2168,,,,
operational semantic,2162,,,,
big data,2146,,,,
information retrieval,2129,,,,
natural language processing,2048,,,,
feature extraction,1997,,,,
wireless sensor networks,1967,,,,
independent component analysis,1964,,,,
mobile robot,1912,,,,
business process,1883,,,,
fuzzy logic,1860,,,,
image segmentation,1856,,,,
image processing,1827,,,,
internet of things,1810,,,,
segmentation,1771,,,,
convolutional neural network,1764,,,,
temporal logic,1758,,,,
hash function,1663,,,,
usability,1651,,,,
computer vision,1597,,,,
reinforcement learning,1585,,,,
evaluation,1582,,,,
computational mathematic,1570,,,,
cellular automaton,1552,,,,
genetic algorithms,1544,,,,
turing machine,1534,,,,
access control,1529,,,,
mobile agent,1521,,,,
social media,1506,,,,
regular language,1500,,,,
semantic web,1499,,,,
nash equilibrium,1489,,,,
sensor network,1451,,,,
association rule,1444,,,,
description logic,1414,,,,
genetic programming,1410,,,,
label transition system,1408,,,,
sentiment analysis,1407,,,,
visualization,1397,,,,
authentication,1394,,,,
boolean function,1388,,,,
approximation algorithm,1375,,,,
image retrieval,1369,,,,
virtual machine,1357,,,,
information system,1351,,,,
knowledge management,1345,,,,
social networks,1342,,,,
intrusion detection,1337,,,,
multi-agent systems,1336,,,,
local search,1336,,,,
pattern recognition,1331,,,,
modal logic,1323,,,,
bayesian network,1297,,,,
anomaly detection,1290,,,,
energy efficiency,1278,,,,
information theory,1256,,,,
performance,1251,,,,
mutual information,1233,,,,
query processing,1216,,,,
constraint satisfaction problem,1204,,,,
ubiquitous computing,1201,,,,
global optimization,1195,,,,
random oracle,1193,,,,
social network,1187,,,,
user experience,1186,,,,
block cipher,1182,,,,
gaussian mixture model,1180,,,,
artificial neural network,1176,,,,
fpga,1175,,,,
game theory,1174,,,,
evolutionary algorithm,1168,,,,
digital library,1165,,,,
smart card,1164,,,,
recommender system,1160,,,,
trust,1152,,,,
operating system,1147,,,,
sensor node,1141,,,,
model checking,1139,,,,
svm,1131,,,,
linear temporal logic,1130,,,,
machine translation,1115,,,,
multi-objective optimization,1111,,,,
complexity,1105,,,,
inference rule,1099,,,,
parallel composition,1099,,,,
e-learning,1095,,,,
convolutional neural networks,1095,,,,
polynomial time,1094,,,,
modeling,1092,,,,
data structure,1090,,,,
text mining,1088,,,,
verification,1085,,,,
performance evaluation,1085,,,,
knowledge representation,1083,,,,
planar graph,1079,,,,
dynamic programming,1078,,,,
learning,1070,,,,
speech recognition,1070,,,,
fault tolerance,1063,,,,
communication network,1059,,,,
reliability,1056,,,,
simulated annealing,1055,,,,
collaboration,1050,,,,
design,1047,,,,
software architecture,1039,,,,
stability,1038,,,,
software engineering,1031,,,,
signature scheme,1028,,,,
prediction,1016,,,,
random forest,1006,,,,
mobile device,999,,,,
qos,986,,,,
differential evolution,984,,,,
object detection,982,,,,
service composition,976,,,,
education,973,,,,
linear programming,969,,,,
social network analysis,965,,,,
uncertainty,962,,,,
resource description framework,957,,,,
proof obligation,954,,,,
routing,952,,,,
inductive logic programming,952,,,,
abstract interpretation,948,,,,
iot,942,,,,
computational complexity,940,,,,
gpu,936,,,,
time series,930,,,,
parallel computing,927,,,,
support vector machines,925,,,,
execution time,920,,,,
normal form,919,,,,
rfid,918,,,,
decision tree,918,,,,
accessibility,914,,,,
bipartite graph,908,,,,
evolutionary algorithms,907,,,,
query language,907,,,,
artificial neural networks,906,,,,
cryptography,903,,,,
object recognition,902,,,,
computational geometry,900,,,,
collaborative filtering,897,,,,
travel salesman problem,895,,,,
recommender systems,885,,,,
web services,885,,,,
principal component analysis,884,,,,
cryptanalysis,881,,,,
ontologies,881,,,,
parallel algorithm,878,,,,
robustness,877,,,,
resource allocation,874,,,,
combinatorial optimization,871,,,,
competitive ratio,871,,,,
function symbol,870,,,,
hide markov model,869,,,,
cognitive radio,867,,,,
information extraction,860,,,,
regular expression,860,,,,
proof system,855,,,,
shared memory,851,,,,
swarm intelligence,850,,,,
interoperability,848,,,,
algorithm,843,,,,
blockchain,840,,,,
image registration,838,,,,
graph transformation,838,,,,
human-computer interaction,836,,,,
process algebra,834,,,,
voronoi diagram,826,,,,
multiobjective optimization,825,,,,
model transformation,824,,,,
query expansion,823,,,,
algorithms,822,,,,
transfer learning,822,,,,
intrusion detection system,822,,,,
grid computing,820,,,,
dimensionality reduction,819,,,,
constraint programming,819,,,,
optical flow,817,,,,
eeg,813,,,,
user interface,809,,,,
path planning,808,,,,
recurrent neural network,806,,,,
mathematical logic,806,,,,
gesture recognition,805,,,,
decision making,799,,,,
quality of service,799,,,,
semantics,799,,,,
convex hull,793,,,,
biometrics,790,,,,
approximation algorithms,783,,,,
integrity constraint,782,,,,
load balancing,778,,,,
business process management,772,,,,
real-time,770,,,,
predicate symbol,767,,,,
twitter,762,,,,
membership function,761,,,,
formal verification,761,,,,
software product line,761,,,,
communication,760,,,,
online algorithm,754,,,,
conjunctive normal form,753,,,,
short path,752,,,,
sparse representation,752,,,,
entropy,751,,,,
finite automaton,751,,,,
linear discriminant analysis,749,,,,
markov decision process,749,,,,
supply chain,745,,,,
span tree,741,,,,
motion estimation,738,,,,
rough sets,735,,,,
linked data,732,,,,
formal concept analysis,732,,,,
evolutionary computation,730,,,,
greedy algorithm,730,,,,
stream cipher,730,,,,
tabu search,727,,,,
singular value decomposition,725,,,,
robotics,723,,,,
face detection,722,,,,
heuristics,719,,,,
smart grid,716,,,,
multi-agent system,716,,,,
optimal control,714,,,,
scalability,712,,,,
medium access control,712,,,,
distributed systems,711,,,,
horn clause,710,,,,
expert system,709,,,,
security policy,709,,,,
virtual environment,708,,,,
integer programming,705,,,,
recognition rate,698,,,,
uml,697,,,,
efficiency,695,,,,
face image,692,,,,
random oracle model,691,,,,
ambient intelligence,689,,,,
symbolic execution,689,,,,
convergence,685,,,,
formal methods,680,,,,
crowdsourcing,678,,,,
mapreduce,677,,,,
tree automaton,673,,,,
android,669,,,,
vertex cover,666,,,,
community detection,666,,,,
case study,664,,,,
markov chain,664,,,,
relevance feedback,664,,,,
decision procedure,663,,,,
blind source separation,663,,,,
xml,663,,,,
edit distance,663,,,,
synchronization,662,,,,
range query,661,,,,
feature vector,660,,,,
domain ontology,659,,,,
knowledge discovery,656,,,,
computational linguistic,655,,,,
humanoid robot,652,,,,
dynamic time warping,650,,,,
tracking,649,,,,
image classification,648,,,,
performance analysis,648,,,,
homomorphic encryption,645,,,,
localization,644,,,,
cnn,644,,,,
atomic proposition,644,,,,
unsupervised learning,638,,,,
oblivious transfer,638,,,,
personalization,637,,,,
kalman filter,637,,,,
context,636,,,,
recursive call,636,,,,
mobile computing,635,,,,
belief revision,633,,,,
multimedia,632,,,,
pareto front,628,,,,
navigation,627,,,,
mobile phone,624,,,,
requirements engineering,622,,,,
innovation,619,,,,
noun phrase,619,,,,
denotational semantic,618,,,,
pervasive computing,615,,,,
question answering,615,,,,
petri nets,613,,,,
information security,612,,,,
network security,612,,,,
local binary pattern,612,,,,
garbage collection,610,,,,
process mining,608,,,,
healthcare,608,,,,
monitoring,608,,,,
data stream,608,,,,
k-means,607,,,,
high performance computing,607,,,,
transition system,607,,,,
activity recognition,606,,,,
secret sharing,605,,,,
reduction rule,605,,,,
gamification,604,,,,
semi-supervised learning,603,,,,
cuda,601,,,,
hybrid system,601,,,,
radial basis function,599,,,,
parse tree,599,,,,
gis,597,,,,
cellular automata,597,,,,
mobile node,597,,,,
adaptation,595,,,,
automatic speech recognition,594,,,,
elliptic curve,593,,,,
load balance,592,,,,
mutual exclusion,592,,,,
e-commerce,591,,,,
graph grammar,590,,,,
metaheuristics,588,,,,
data integration,588,,,,
serious games,588,,,,
action recognition,586,,,,
interaction,584,,,,
architecture,583,,,,
survey,581,,,,
functional programming,581,,,,
human-robot interaction,581,,,,
transitive closure,581,,,,
access control policy,581,,,,
emotion recognition,580,,,,
ant colony optimization,580,,,,
object management group,580,,,,
anonymity,579,,,,
semantic similarity,579,,,,
higher education,578,,,,
conjunctive query,578,,,,
wavelet transform,577,,,,
text classification,576,,,,
distributed computing,576,,,,
winning strategy,576,,,,
safety,575,,,,
human computer interaction,574,,,,
schedule problem,572,,,,
regression,572,,,,
data warehouse,571,,,,
fault diagnosis,570,,,,
smart home,570,,,,
mobility,569,,,,
enterprise architecture,568,,,,
directed acyclic graph,568,,,,
security protocol,568,,,,
decision support system,566,,,,
random graph,564,,,,
supervised learning,562,,,,
active learning,562,,,,
assistive technology,560,,,,
active contour,560,,,,
discrete cosine transform,559,,,,
collaborative learning,559,,,,
delaunay triangulation,559,,,,
virtualization,558,,,,
packet loss,558,,,,
message passing interface,558,,,,
finite state machine,556,,,,
